country,year,precip_mm_yr
Germany,1959,504.52230342741933
Germany,1960,793.0740927419355
Germany,1961,813.6636424731183
Germany,1962,647.6485215053764
Germany,1963,609.0723286290323
Germany,1964,587.5112987231183
Germany,1965,926.2197580645161
Germany,1966,907.1737231182796
Germany,1967,774.0674563172043
Germany,1968,784.3251008064516
Germany,1969,671.8741599462365
Germany,1970,850.5919018817204
Germany,1971,553.7731014784946
Germany,1972,611.2227402553764
Germany,1973,649.8501344086021
Germany,1974,825.8652553763441
Germany,1975,608.6700268817204
Germany,1976,544.5286458333334
Germany,1977,765.0399865591398
Germany,1978,742.9117943548387
Germany,1979,767.5823252688172
Germany,1980,783.4594254032259
Germany,1981,928.6622983870968
Germany,1982,656.515877016129
Germany,1983,732.2466397849462
Germany,1984,770.8439180107526
Germany,1985,680.3922631048387
Germany,1986,808.0512432795699
Germany,1987,824.7903225806451
Germany,1988,808.6780073924731
Germany,1989,636.8114079301075
Germany,1990,735.0505712365591
Germany,1991,594.0603998655914
Germany,1992,739.1657426075269
Germany,1993,825.4282594086021
Germany,1994,830.9432963709677
Germany,1995,812.7302587365591
Germany,1996,628.0249495967741
Germany,1997,659.9314936155914
Germany,1998,861.3639952956989
Germany,1999,776.0947580645161
Germany,2000,759.114751344086
Germany,2001,862.1349126344086
Germany,2002,947.286878360215
Germany,2003,560.5687163978495
Germany,2004,751.1809475806451
Germany,2005,722.8554267473119
Germany,2006,690.8783602150538
Germany,2007,901.911626344086
Germany,2008,717.6838037634409
Germany,2009,743.7517641129032
Germany,2010,806.9850470430108
Germany,2011,682.8810483870968
Germany,2012,724.4810147849462
Germany,2013,738.2032930107526
Germany,2014,685.5826612903226
Germany,2015,664.8694976478495
Germany,2016,690.8111139112904
Germany,2017,815.2760416666666
Germany,2018,540.4895833333334
Germany,2019,684.0912718413979
Germany,2020,654.5453629032259
Germany,2021,746.3111559139785
Germany,2022,621.9283434139785
Germany,2023,904.0115927419355
Germany,2024,847.4842069892474
Greece,1950,237.60454545454544
Greece,1951,339.8577414772727
Greece,1952,301.2945667613636
Greece,1953,291.1272549715909
Greece,1954,436.86044034090907
Greece,1955,486.3313565340909
Greece,1956,475.4022727272727
Greece,1957,399.7818181818182
Greece,1958,425.50955255681816
Greece,1959,483.50269886363634
Greece,1960,552.8223011363636
Greece,1961,378.7318181818182
Greece,1962,599.7913352272727
Greece,1963,559.56953125
Greece,1964,422.11274857954544
Greece,1965,453.51640625
Greece,1966,527.8208451704545
Greece,1967,430.25181107954546
Greece,1968,506.8340909090909
Greece,1969,463.25
Greece,1970,394.558203125
Greece,1971,513.7213778409091
Greece,1972,505.71047585227274
Greece,1973,467.65365767045455
Greece,1974,440.3772372159091
Greece,1975,368.2836292613636
Greece,1976,464.4240767045454
Greece,1977,299.325
Greece,1978,483.1068181818182
Greece,1979,524.1649857954545
Greece,1980,500.727734375
Greece,1981,466.4845525568182
Greece,1982,474.23501420454545
Greece,1983,431.6240767045455
Greece,1984,363.6095525568182
Greece,1985,376.1454545454545
Greece,1986,422.56498579545456
Greece,1987,458.32272727272726
Greece,1988,375.6645596590909
Greece,1989,276.25727982954544
Greece,1990,349.37318892045454
Greece,1991,394.65
Greece,1992,295.82137784090907
Greece,1993,329.16910511363636
Greece,1994,414.55546875
Greece,1995,392.4077059659091
Greece,1996,427.49588068181816
Greece,1997,330.3363636363636
Greece,1998,343.4986505681818
Greece,1999,409.9404829545455
Greece,2000,239.952734375
Greece,2001,333.9127130681818
Greece,2002,511.7618252840909
Greece,2003,442.8045099431818
Greece,2004,370.2854403409091
Greece,2005,321.03274147727274
Greece,2006,259.3099786931818
Greece,2007,309.7968039772727
Greece,2008,253.37865767045454
Greece,2009,432.59957386363635
Greece,2010,341.92318892045455
Greece,2011,267.2322443181818
Greece,2012,329.40500710227275
Greece,2013,328.51548295454546
Greece,2014,483.2327414772727
Greece,2015,450.85727982954546
Greece,2016,400.98227982954546
Greece,2017,401.7877130681818
Greece,2018,461.60227272727275
Greece,2019,519.8268110795455
Greece,2020,366.7104403409091
Greece,2021,480.04957386363634
Greece,2022,327.09818892045456
Greece,2023,399.8272727272727
Greece,2024,420.35816761363634
Hungary,1950,571.5370303468208
Hungary,1951,583.4075144508671
Hungary,1952,618.1629786849711
Hungary,1953,451.1613078034682
Hungary,1954,563.4497380780347
Hungary,1955,639.1728684971098
Hungary,1956,449.4272037572254
Hungary,1957,491.5681900289017
Hungary,1958,518.1820809248555
Hungary,1959,506.13118677745666
Hungary,1960,584.3144869942197
Hungary,1961,405.0508489884393
Hungary,1962,467.43176481213874
Hungary,1963,558.6196712427745
Hungary,1964,570.3156159682081
Hungary,1965,735.5948338150289
Hungary,1966,633.9600794797688
Hungary,1967,458.50632225433526
Hungary,1968,472.272263367052
Hungary,1969,596.9809429190751
Hungary,1970,611.9774205202312
Hungary,1971,402.8624458092485
Hungary,1972,556.1999638728323
Hungary,1973,400.5844020953757
Hungary,1974,656.2214143786127
Hungary,1975,485.3716582369942
Hungary,1976,483.21847904624275
Hungary,1977,490.63123193641616
Hungary,1978,478.3520140895954
Hungary,1979,494.5930274566474
Hungary,1980,515.1046784682081
Hungary,1981,443.98731033236993
Hungary,1982,468.1399024566474
Hungary,1983,404.0352691473988
Hungary,1984,548.8312409682081
Hungary,1985,547.9693822254335
Hungary,1986,424.015037933526
Hungary,1987,556.5878793352601
Hungary,1988,483.6595466040462
Hungary,1989,492.6138908959538
Hungary,1990,374.01038656069363
Hungary,1991,489.5786217485549
Hungary,1992,514.4925036127167
Hungary,1993,463.2375812861272
Hungary,1994,485.95032514450867
Hungary,1995,598.7653540462428
Hungary,1996,585.877438583815
Hungary,1997,434.2381683526012
Hungary,1998,638.922552384393
Hungary,1999,678.9896585982659
Hungary,2000,363.68036488439304
Hungary,2001,481.4456737716763
Hungary,2002,488.6884483381503
Hungary,2003,402.9127528901734
Hungary,2004,633.7508128612717
Hungary,2005,688.852059248555
Hungary,2006,535.7820628612717
Hungary,2007,575.0422236271677
Hungary,2008,549.9826589595376
Hungary,2009,546.469924132948
Hungary,2010,891.9225975433526
Hungary,2011,378.0387238078035
Hungary,2012,427.1092846820809
Hungary,2013,588.1265805635838
Hungary,2014,688.2028992052024
Hungary,2015,498.0346820809249
Hungary,2016,646.3884122109827
Hungary,2017,569.7653088872833
Hungary,2018,526.5988078034682
Hungary,2019,569.9837879335261
Hungary,2020,564.2202402456647
Hungary,2021,459.0225794797688
Hungary,2022,448.4780075867052
Hungary,2023,704.2954299132948
Hungary,2024,456.57171242774564
Ireland,1950,1152.187752016129
Ireland,1951,1121.7298387096773
Ireland,1952,874.4161416330645
Ireland,1953,907.3056325604839
Ireland,1954,1255.9798387096773
Ireland,1955,955.5693674395161
Ireland,1956,1065.1887600806451
Ireland,1957,1068.4943296370968
Ireland,1958,1228.2598286290322
Ireland,1959,1060.8339213709678
Ireland,1960,1308.5168850806451
Ireland,1961,1053.4048639112902
Ireland,1962,1024.8346774193549
Ireland,1963,1016.1597152217741
Ireland,1964,1068.6668346774193
Ireland,1965,1199.7008568548388
Ireland,1966,1209.4717741935483
Ireland,1967,1102.9862651209678
Ireland,1968,1100.5509072580646
Ireland,1969,905.0282258064516
Ireland,1970,1077.571068548387
Ireland,1971,827.4710181451613
Ireland,1972,1055.717741935484
Ireland,1973,1005.9548891129032
Ireland,1974,1165.819304435484
Ireland,1975,907.1080519153226
Ireland,1976,972.2813760080645
Ireland,1977,1149.1798135080646
Ireland,1978,1066.1990927419354
Ireland,1979,1172.0177671370968
Ireland,1980,1193.688004032258
Ireland,1981,1128.6887600806451
Ireland,1982,1229.316910282258
Ireland,1983,1074.672631048387
Ireland,1984,1048.2217741935483
Ireland,1985,1119.8902469758063
Ireland,1986,1250.1217237903227
Ireland,1987,968.7588205645161
Ireland,1988,1200.5378024193549
Ireland,1989,1054.6354586693549
Ireland,1990,1187.0863155241937
Ireland,1991,1046.069367439516
Ireland,1992,1099.5201612903227
