country,year,mean_temp_c
Finland,2017,2.472581148147583
Finland,2018,3.23852276802063
Finland,2019,2.6241185665130615
Finland,2020,4.305795192718506
Finland,2021,2.3690345287323
Finland,2022,3.3148772716522217
Finland,2023,2.73947811126709
Finland,2024,3.578695297241211
France,1950,10.673336029052734
France,1951,10.306669235229492
France,1952,10.45083999633789
France,1953,10.442779541015625
France,1954,9.910601615905762
France,1955,10.413822174072266
France,1956,9.107707023620605
France,1957,10.40259838104248
France,1958,10.322542190551758
France,1959,11.200886726379395
France,1960,10.348443031311035
France,1961,11.16329288482666
France,1962,9.584178924560547
France,1963,9.198661804199219
France,1964,10.264232635498047
France,1965,9.776198387145996
France,1966,10.52845287322998
France,1967,10.426839828491211
France,1968,10.053159713745117
France,1969,10.018045425415039
France,1970,10.109590530395508
France,1971,10.035658836364746
France,1972,9.73001766204834
France,1973,9.994446754455566
France,1974,10.33285903930664
France,1975,10.216431617736816
France,1976,10.592672348022461
France,1977,10.28083324432373
France,1978,9.813695907592773
France,1979,9.968706130981445
France,1980,9.56407642364502
France,1981,10.334716796875
France,1982,11.03123950958252
France,1983,10.75758171081543
France,1984,10.015317916870117
France,1985,9.757826805114746
France,1986,10.090726852416992
France,1987,10.103469848632812
France,1988,10.904435157775879
France,1989,11.452779769897461
France,1990,11.42768383026123
France,1991,10.373576164245605
France,1992,10.721739768981934
France,1993,10.360459327697754
France,1994,11.606657028198242
France,1995,11.132277488708496
France,1996,10.087809562683105
France,1997,11.387146949768066
France,1998,10.752700805664062
France,1999,11.20603084564209
France,2000,11.320189476013184
France,2001,10.952498435974121
France,2002,11.393434524536133
France,2003,11.74561595916748
France,2004,10.838540077209473
France,2005,10.839743614196777
France,2006,11.514434814453125
France,2007,11.119318008422852
France,2008,10.740710258483887
France,2009,11.189300537109375
France,2010,10.070717811584473
France,2011,11.888103485107422
France,2012,11.006606101989746
France,2013,10.569418907165527
France,2014,11.893950462341309
France,2015,11.784969329833984
France,2016,11.266737937927246
France,2017,11.53870677947998
France,2018,12.114128112792969
France,2019,11.884035110473633
France,2020,12.391711235046387
France,2021,11.095292091369629
France,2022,12.78432846069336
France,2023,12.585064888000488
France,2024,12.112467765808105
Germany,1950,8.653962135314941
Germany,1951,8.78827953338623
Germany,1952,8.001358985900879
Germany,1953,9.029019355773926
Germany,1954,7.797356605529785
Germany,1955,7.619404315948486
Germany,1956,6.930241107940674
Germany,1957,8.630005836486816
Germany,1958,8.277556419372559
Germany,1959,9.110296249389648
