country,year,tg_anomaly_c
Netherlands,1985,-1.9700178782145183
Netherlands,1986,-1.50760981241862
Netherlands,1987,-1.6881899515787762
Netherlands,1988,-0.1676897684733092
Netherlands,1989,0.1787276585896791
Netherlands,1990,0.23151734670003066
Netherlands,1991,-1.0276016871134441
Netherlands,1992,-0.03253313700358085
Netherlands,1993,-0.9123606363932293
Netherlands,1994,0.12140706380208321
Netherlands,1995,-0.13676497141520194
Netherlands,1996,-2.0339922587076824
Netherlands,1997,-0.32529207865397325
Netherlands,1998,-0.20180460611979179
Netherlands,1999,0.36503175099690743
Netherlands,2000,0.34591534932454415
Netherlands,2001,-0.14625784556070798
Netherlands,2002,0.23584225972493478
Netherlands,2003,-0.07269713083903007
Netherlands,2004,-0.1428579966227197
Netherlands,2005,0.09205010732014962
Netherlands,2006,0.6050534566243471
Netherlands,2007,0.6248727162679035
Netherlands,2008,0.011357816060383996
Netherlands,2009,-0.046099154154459754
Netherlands,2010,-1.4764036814371746
Netherlands,2011,0.3396849950154639
Netherlands,2012,-0.2683682123819988
Netherlands,2013,-0.7306294123331707
Netherlands,2014,1.1394124348958332
Netherlands,2015,0.33967164357503066
Netherlands,2016,0.17441895802815743
Netherlands,2017,0.4324403127034522
Netherlands,2018,0.8847117741902668
Netherlands,2019,0.7017970403035481
Netherlands,2020,1.1399951299031574
Netherlands,2021,-0.06155249277750663
Netherlands,2022,1.1114611943562842
Netherlands,2023,1.2485747655232746
Netherlands,2024,1.2846360524495442
Norway,1950,-0.4934258580207824
Norway,1951,-1.0703733682632446
Norway,1952,-1.7838194712996482
Norway,1953,0.4990544199943543
Norway,1954,-0.5813009858131408
Norway,1955,-1.8024606674909591
Norway,1956,-1.58075390458107
Norway,1957,-0.582749855518341
Norway,1958,-1.4840016186237335
Norway,1959,0.3132655501365662
Norway,1960,-0.6786911606788637
Norway,1961,-0.026420843601226762
Norway,1962,-1.7494091510772705
Norway,1963,-0.8690104603767395
Norway,1964,-0.48905230760574336
Norway,1965,-1.6931027144193649
Norway,1966,-2.2167218148708345
Norway,1967,-0.7124209523200988
Norway,1968,-1.6274030327796936
Norway,1969,-1.1735389351844787
Norway,1970,-1.3373869776725769
Norway,1971,-0.9930331826210022
Norway,1972,0.00475322008132939
Norway,1973,-0.8327411532402038
Norway,1974,0.22980760335922246
Norway,1975,-0.10560311079025264
Norway,1976,-1.4029498517513275
Norway,1977,-1.3023345589637756
Norway,1978,-1.689903062582016
Norway,1979,-1.6870207756757736
Norway,1980,-1.3605427265167236
Norway,1981,-2.1014221429824826
Norway,1982,-0.6671764969825744
Norway,1983,-0.6344534277915954
Norway,1984,-0.47265304327011104
Norway,1985,-2.1045774936676023
Norway,1986,-1.3973623037338256
Norway,1987,-1.812913228571415
Norway,1988,-0.7035578608512878
Norway,1989,0.5004699110984803
Norway,1990,0.7260978102684021
Norway,1991,-0.0833345770835876
Norway,1992,0.0043148875236511675
Norway,1993,-0.8626604199409484
Norway,1994,-0.6966134428977966
Norway,1995,-0.6928581118583681
Norway,1996,-1.0019602298736572
Norway,1997,-0.005949151515960649
Norway,1998,-0.7339382290840148
Norway,1999,-0.09306646585464473
Norway,2000,0.5276849150657654
Norway,2001,-0.5813012242317199
Norway,2002,0.21175740957260136
Norway,2003,0.37975691556930546
Norway,2004,0.3548259615898133
Norway,2005,0.46633003950119023
Norway,2006,0.8412198901176453
Norway,2007,0.3825724005699158
Norway,2008,0.24500106573104818
Norway,2009,-0.024013650417327614
Norway,2010,-1.7417481660842895
Norway,2011,0.8874077677726746
Norway,2012,-0.7525692105293271
Norway,2013,0.08184539079666142
Norway,2014,0.9746975779533387
Norway,2015,0.5965919375419617
Norway,2016,0.36864637136459355
Norway,2017,-0.14951373338699336
Norway,2018,0.2590203166007996
Norway,2019,-0.1266120791435239
Norway,2020,0.9644658446311951
Norway,2021,-0.25330628156661983
Norway,2022,0.47374604940414433
Norway,2023,-0.2154444575309753
Norway,2024,0.9785892844200135
Poland,1950,-0.5299512386322025
Poland,1951,-0.11748280525207555
Poland,1952,-1.393353128433228
Poland,1953,-0.27320065498352086
Poland,1954,-1.5686570644378666
Poland,1955,-1.3410398006439213
Poland,1956,-2.474295282363892
Poland,1957,-0.48387589454650914
Poland,1958,-0.953426027297974
Poland,1959,-0.32903161048889196
Poland,1960,-0.8620883464813236
Poland,1961,-0.32509388923645055
Poland,1962,-1.7365719318389896
Poland,1963,-1.7774015903472904
Poland,1964,-1.3650504589080814
Poland,1965,-1.9690615177154545
Poland,1966,-0.569369459152222
Poland,1967,0.0005620479583736682
Poland,1968,-0.859223031997681
Poland,1969,-1.994946146011353
Poland,1970,-1.6911374568939213
Poland,1971,-0.5802136898040775
Poland,1972,-0.9573785305023197
Poland,1973,-0.9104944705963138
Poland,1974,-0.521388673782349
Poland,1975,0.15399680137634242
Poland,1976,-1.6900154590606693
Poland,1977,-0.7093483448028568
Poland,1978,-1.60374608039856
Poland,1979,-1.4356595516204838
Poland,1980,-2.20817723274231
Poland,1981,-0.9523874759674076
Poland,1982,-0.3941895008087162
Poland,1983,0.23105750083923304
Poland,1984,-0.9773351192474369
Poland,1985,-1.9987040996551517
Poland,1986,-1.242976808547974
Poland,1987,-2.2473112583160404
Poland,1988,-0.4319302082061771
Poland,1989,0.6175988674163797
Poland,1990,0.46883902549743617
Poland,1991,-0.7956425189971927
Poland,1992,0.05439124107360804
Poland,1993,-0.8777047634124759
Poland,1994,0.2143281459808346
Poland,1995,-0.4865843296051029
Poland,1996,-2.189425134658814
Poland,1997,-0.88320746421814
Poland,1998,-0.48668446540832555
Poland,1999,0.18741450309753382
Poland,2000,0.7463210582733151
Poland,2001,-0.4625488758087162
Poland,2002,0.36233267784118617
Poland,2003,-0.4701992511749271
Poland,2004,-0.4825893878936771
Poland,2005,-0.47780671119689977
Poland,2006,-0.08060326576232946
Poland,2007,0.6002067089080807
Poland,2008,0.610012388229368
Poland,2009,-0.22414650917053258
Poland,2010,-1.2219602108001721
Poland,2011,0.160221433639526
Poland,2012,-0.271393442153931
Poland,2013,-0.23884072303772008
Poland,2014,0.8510097026824948
Poland,2015,1.0745261669158914
Poland,2016,0.4781831264495846
Poland,2017,0.32199988365173304
Poland,2018,1.1662629604339596
Poland,2019,1.557921743392944
Poland,2020,1.2642053127288797
Poland,2021,-0.0258614063262943
Poland,2022,0.8479245662689205
Poland,2023,1.4444640636444088
Poland,2024,2.28331503868103
Portugal,1950,-0.43820072809855404
Portugal,1951,-1.0860011736551929
Portugal,1952,-0.8356530825297046
Portugal,1953,-0.16894985834757748
Portugal,1954,-0.9540851275126148
Portugal,1955,0.20488856633504327
Portugal,1956,-1.7251594225565619
Portugal,1957,-0.859335676829021
Portugal,1958,-0.8594386736551929
Portugal,1959,-0.5955798784891773
Portugal,1960,-0.916716353098554
Portugal,1961,0.1283686002095532
Portugal,1962,-0.652304426829021
Portugal,1963,-0.984096304575603
Portugal,1964,-0.5903270403544116
Portugal,1965,-0.9777352968851734
Portugal,1966,-0.6800992647806812
Portugal,1967,-1.0314576784769685
Portugal,1968,-0.8081510225931812
Portugal,1969,-1.3436505953470874
Portugal,1970,-1.025969282786054
Portugal,1971,-1.603420035044353
Portugal,1972,-1.9094226519266773
Portugal,1973,-1.123134390513103
Portugal,1974,-1.2771508852640796
Portugal,1975,-1.2485864321390796
Portugal,1976,-1.0785424868265796
Portugal,1977,-1.103734747568767
Portugal,1978,-0.798260466257732
Portugal,1979,-0.8515527407328296
Portugal,1980,-0.8319127718607593
Portugal,1981,-0.05901314417521242
Portugal,1982,-0.6006963411966968
Portugal,1983,-0.5326392809549976
Portugal,1984,-1.1049020449320484
Portugal,1985,-0.5393932024637849
Portugal,1986,-1.0075233141581208
Portugal,1987,-0.010099188486737631
Portugal,1988,-0.6592796007792163
Portugal,1989,0.41536353429158446
Portugal,1990,0.047579034169514145
Portugal,1991,-0.4491508165995288
Portugal,1992,-0.6162059466044116
Portugal,1993,-1.330224768320722
Portugal,1994,-0.412744299570722
Portugal,1995,0.6161444028218579
Portugal,1996,-0.44376541773478273
Portugal,1997,0.6005575497945141
Portugal,1998,0.056271775563557114
Portugal,1999,-0.5095565478007007
Portugal,2000,-0.41499210993448976
Portugal,2001,-0.28428341547648195
Portugal,2002,-0.19628883997599367
Portugal,2003,0.1330540021260571
Portugal,2004,-0.17703129450480048
Portugal,2005,-0.10064675013224367
Portugal,2006,0.3708898862202954
Portugal,2007,-0.4492223421732593
Portugal,2008,-0.5798394838968939
Portugal,2009,0.27931617101033446
Portugal,2010,0.05416510899861571
Portugal,2011,0.8421099026997876
Portugal,2012,0.06283210118611571
Portugal,2013,-0.22543026606241945
Portugal,2014,0.16532061894734618
Portugal,2015,0.4809505780537915
Portugal,2016,0.3593971570332837
Portugal,2017,0.9876024564107251
Portugal,2018,0.025249703725178207
Portugal,2019,0.3186485608418792
Portugal,2020,0.8368723233540845
Portugal,2021,0.00059340794881102
Portugal,2022,0.9802172025044751
Portugal,2023,0.9003488858540845
Portugal,2024,0.7616445859273266
Romania,1950,1.1929859797159832
Romania,1951,1.2382254282633465
Romania,1952,0.743865458170573
Romania,1953,0.08849951426188163
Romania,1954,-0.9023633321126301
Romania,1955,-0.2839093526204426
Romania,1956,-1.3300633748372395
Romania,1957,0.25651404062906913
Romania,1958,0.6447243372599267
Romania,1959,-0.1658854802449543
Romania,1960,0.7227110544840496
Romania,1961,-0.4019065221150733
Romania,1962,-0.9170451482137043
Romania,1963,-1.1502890904744465
Romania,1964,-1.356161626180013
Romania,1965,-1.515700848897298
Romania,1966,-0.033534558614094934
Romania,1967,-0.6256604512532551
Romania,1968,-0.5073352177937824
Romania,1969,-1.5089927037556965
Romania,1970,-0.8811908086140949
Romania,1971,-0.8621087392171223
Romania,1972,-0.7258858998616535
Romania,1973,-1.359009297688802
Romania,1974,-0.9001527150472004
Romania,1975,-0.3563762029012043
Romania,1976,-1.8305511792500821
Romania,1977,-0.7474818547566731
Romania,1978,-1.615073235829671
Romania,1979,-0.6352734883626301
Romania,1980,-1.9261627515157063
Romania,1981,-0.8975072224934895
Romania,1982,-0.9098487218221027
Romania,1983,-0.4563222249348975
Romania,1984,-1.166159184773763
Romania,1985,-1.934899361928304
Romania,1986,-0.8148961385091145
Romania,1987,-1.46532777150472
Romania,1988,-0.9103112538655598
Romania,1989,-0.18926480611165353
Romania,1990,0.049052683512371686
Romania,1991,-1.2737613042195637
Romania,1992,-0.5718283971150733
Romania,1993,-1.1188903172810871
Romania,1994,0.6292004267374676
Romania,1995,-0.7570214589436848
Romania,1996,-1.3577590306599934
Romania,1997,-1.3219580968221027
Romania,1998,-0.6953111012776692
Romania,1999,-0.02748254140218087
Romania,2000,0.3651871363321959
Romania,2001,-0.18746808369954415
Romania,2002,0.28937193552653184
Romania,2003,-0.6189494450887043
Romania,2004,-0.4565358479817707
Romania,2005,-0.8788323720296223
Romania,2006,-0.5227341969807942
Romania,2007,0.8923363367716473
Romania,2008,0.46453997294108085
Romania,2009,0.5273623148600279
Romania,2010,-0.07487443288167306
Romania,2011,-0.33169415791829415
Romania,2012,0.4592747370402037
Romania,2013,0.4675068537394189
Romania,2014,0.6384825388590496
Romania,2015,0.9890894571940105
Romania,2016,0.47607466379801444
Romania,2017,0.48592421213785997
Romania,2018,0.9444279352823894
Romania,2019,1.4173798243204754
Romania,2020,1.1489424387613933
Romania,2021,0.23796030680338554
Romania,2022,1.0749563852945947
Romania,2023,1.8395752588907879
Romania,2024,2.3930897394816064
Serbia,1950,0.42890516916910926
Serbia,1951,0.3813921610514335
Serbia,1952,0.15782801310221295
Serbia,1953,-1.0496009190877267
Serbia,1954,-1.749287923177084
Serbia,1955,-0.9287474950154628
Serbia,1956,-2.1366179784139003
Serbia,1957,-0.6504929860432949
Serbia,1958,-0.27111562093099195
Serbia,1959,-1.1462024052937831
Serbia,1960,-0.45755608876546283
Serbia,1961,-0.3542197545369472
Serbia,1962,-1.1984780629475917
Serbia,1963,-1.0807545979817714
Serbia,1964,-1.5215810139973964
Serbia,1965,-1.3000195821126308
Serbia,1966,-0.42320855458577533
Serbia,1967,-0.9029506047566755
Serbia,1968,-0.774967511494955
Serbia,1969,-1.5674746831258144
Serbia,1970,-1.2531846364339199
Serbia,1971,-1.1747048695882167
Serbia,1972,-0.9566262563069667
Serbia,1973,-1.4891150792439785
Serbia,1974,-1.0016606648763027
Serbia,1975,-0.8464186986287441
Serbia,1976,-1.9378274281819667
Serbia,1977,-0.6642506917317714
Serbia,1978,-1.8285125096639003
Serbia,1979,-0.8092978795369472
Serbia,1980,-2.031690915425619
Serbia,1981,-1.113458951314291
Serbia,1982,-0.8378928502400704
Serbia,1983,-0.7399609883626308
Serbia,1984,-1.3958857854207345
Serbia,1985,-1.6528075536092128
Serbia,1986,-1.1892007191975917
Serbia,1987,-1.17282517751058
Serbia,1988,-0.8817380269368496
Serbia,1989,-0.7586396535237636
Serbia,1990,-0.231871922810873
Serbia,1991,-1.6443093617757167
Serbia,1992,-0.33962663014729877
Serbia,1993,-0.8340199788411464
Serbia,1994,0.5182396570841465
Serbia,1995,-0.8361666997273769
Serbia,1996,-1.3902667363484706
Serbia,1997,-1.2199414571126308
Serbia,1998,-0.5618642171223964
Serbia,1999,-0.2604850133260097
Serbia,2000,0.8093363444010411
Serbia,2001,-0.21162255605061908
Serbia,2002,0.4093157450358067
Serbia,2003,-0.3168032964070626
Serbia,2004,-0.5391305287679025
Serbia,2005,-1.2017415364583357
Serbia,2006,-0.4632685979207345
Serbia,2007,0.7104794184366856
Serbia,2008,0.606323877970377
Serbia,2009,0.3972613016764335
Serbia,2010,-0.051765759785970644
Serbia,2011,-0.2258170445760097
Serbia,2012,0.5425001780192051
Serbia,2013,0.5520807902018223
Serbia,2014,0.7604967753092442
Serbia,2015,0.7620207468668614
Serbia,2016,0.3179003397623692
Serbia,2017,0.46349493662516217
Serbia,2018,1.131155649820963
Serbia,2019,1.338366190592449
Serbia,2020,0.7778574625651036
Serbia,2021,0.3064428965250645
Serbia,2022,1.461980501810709
Serbia,2023,2.0405346552530936
Serbia,2024,2.717116991678873
Slovakia,1950,-0.03662676811218191
Slovakia,1951,0.05919651985168528
Slovakia,1952,-1.304991674423217
Slovakia,1953,-0.757917356491089
Slovakia,1954,-1.8324698925018303
Slovakia,1955,-1.7061814785003655
Slovakia,1956,-2.4154710292816155
Slovakia,1957,-0.810193967819214
Slovakia,1958,-0.9047836780548089
Slovakia,1959,-0.8228663921356194
Slovakia,1960,-0.8431043148040764
Slovakia,1961,-0.5081443309783928
Slovakia,1962,-1.8721479892730706
Slovakia,1963,-1.7324661731719964
Slovakia,1964,-1.6271123409271233
Slovakia,1965,-2.2632960796356194
Slovakia,1966,-0.5530676364898675
Slovakia,1967,-0.7081183910369866
Slovakia,1968,-1.01414532661438
Slovakia,1969,-1.5101146221160882
Slovakia,1970,-1.5341372013092034
Slovakia,1971,-1.0555872440338128
Slovakia,1972,-0.8701762676239007
Slovakia,1973,-1.2551807880401604
Slovakia,1974,-0.6290492534637444
Slovakia,1975,-0.3889388561248772
Slovakia,1976,-1.4196676731109612
Slovakia,1977,-0.8588542461395257
Slovakia,1978,-1.8901504993438714
Slovakia,1979,-0.9839024066925051
Slovakia,1980,-2.4056119441986077
Slovakia,1981,-1.0914120197296135
Slovakia,1982,-0.805111360549926
Slovakia,1983,-0.3591660976409905
Slovakia,1984,-1.3328995227813714
Slovakia,1985,-2.0619573116302483
Slovakia,1986,-1.2549852848052971
Slovakia,1987,-1.7566809177398675
Slovakia,1988,-0.9296788692474358
Slovakia,1989,-0.3718928813934319
Slovakia,1990,-0.3488339900970452
Slovakia,1991,-1.2296900272369378
Slovakia,1992,-0.1931800365447991
Slovakia,1993,-0.7821325778961175
Slovakia,1994,0.45787243843078684
Slovakia,1995,-0.6094169139862053
Slovakia,1996,-1.57975525856018
Slovakia,1997,-1.047035646438598
Slovakia,1998,-0.4119481563568108
Slovakia,1999,-0.18251986503601003
Slovakia,2000,0.5890465259552009
Slovakia,2001,-0.46761460304260183
Slovakia,2002,0.22864060401916575
Slovakia,2003,-0.38158698081970144
Slovakia,2004,-0.7619785785675051
Slovakia,2005,-0.9802817821502678
Slovakia,2006,-0.35462374687194753
Slovakia,2007,0.6247129917144765
Slovakia,2008,0.6123581409454353
Slovakia,2009,0.22397522926330637
Slovakia,2010,-0.6160091876983635
Slovakia,2011,0.05032448768615794
Slovakia,2012,0.24575810432434153
Slovakia,2013,0.18421082496643137
Slovakia,2014,1.3857088565826405
Slovakia,2015,1.0164175510406501
Slovakia,2016,0.3737297534942634
Slovakia,2017,0.1997309207916267
Slovakia,2018,1.2939186573028572
Slovakia,2019,1.323609399795533
Slovakia,2020,0.7877588748931892
Slovakia,2021,-0.05901618003845144
Slovakia,2022,1.037715959548951
Slovakia,2023,1.4551926136016853
Slovakia,2024,2.3766193866729726
Slovenia,1950,0.06559189160664936
Slovenia,1951,0.17138393719991107
Slovenia,1952,-0.8124961058298741
Slovenia,1953,-0.6606320540110264
Slovenia,1954,-1.5000085035959874
Slovenia,1955,-1.2423104445139561
